flickrid,owner_id,title,date_downl,date_shot,gps_bool,farm,server,secret,make,model,foc_mm,azimuth_bo,azimuth,height,inside,lon,lat,x,y
21348973616,61152197@N00,The Color Run Lausanne 2015,2016-10-06,2015-09-12,"1","6","5689",,Apple,iPhone 5s,2.200000000000000,"0",91.819964350000006,372.000000000000000,"0",6.617744444440000,46.510941666699999,"2536997","1151401"
21375221825,61152197@N00,The Color Run Lausanne 2015,2016-10-06,2015-09-12,"1","1","752",,Apple,iPhone 5s,2.200000000000000,"0",146.177489199999997,379.000000000000000,"0",6.617761111110000,46.510188888899997,"2536998","1151317"
20752525674,61152197@N00,The Color Run Lausanne 2015,2016-10-06,2015-09-12,"1","1","600",,Apple,iPhone 5s,2.200000000000000,"0",145.460526299999998,379.000000000000000,"0",6.617761111110000,46.510188888899997,"2536998","1151317"
17086636958,49123487@N07,IMG_5968,2016-10-06,2015-04-25,"1","8","7719",,Apple,iPhone 6,4.200000000000000,"0",146.824531500000006,443.000000000000000,"0",6.613150000000000,46.521927777800002,"2536658","1152626"
20848397945,36521983709@N01,New Furniture,2016-10-06,2015-08-22,"1","1","658",,Apple,iPhone 5,4.100000000000000,"0",110.654396700000007,515.788461500000039,"0",6.611583333330000,46.534583333299999,"2536552","1154034"
22675218907,49123487@N07,IMG_7275,2016-10-06,2015-11-14,"1","1","651",,Apple,iPhone 6,4.200000000000000,"0",250.221373999999997,605.447761199999945,"0",6.618375000000000,46.536872222200003,"2537076","1154283"
16639290248,29250863@N02,Beautés blanches - White beauties,2016-10-06,2015-03-13,"1","9","8755",,NIKON,COOLPIX P510,107.000000000000000,"0",0.000000000000000,361.199999999999989,"0",6.626158333330000,46.506311111099997,"2537638","1150880"
21187124710,61152197@N00,The Color Run Lausanne 2015,2016-10-06,2015-09-12,"1","1","617",,Apple,iPhone 5s,4.200000000000000,"0",253.870192300000014,376.000000000000000,"0",6.622761111110000,46.507599999999996,"2537379","1151026"
21187362388,61152197@N00,The Color Run Lausanne 2015,2016-10-06,2015-09-12,"1","1","646",,Apple,iPhone 5s,4.200000000000000,"0",254.147096800000014,376.000000000000000,"0",6.622797222220000,46.507555555600000,"2537381","1151021"
27092044494,100270960@N07,,2016-10-06,2015-03-07,"1","8","7374",,Apple,iPhone 6 Plus,4.200000000000000,"0",283.638036800000009,375.839694699999995,"0",6.626716666670000,46.506805555600003,"2537681","1150934"
27092042844,100270960@N07,,2016-10-06,2015-03-07,"1","8","7711",,Apple,iPhone 6 Plus,4.200000000000000,"0",338.325657900000010,372.004629599999987,"0",6.628150000000000,46.504938888900000,"2537789","1150726"
27426211480,100270960@N07,,2016-10-06,2015-03-07,"1","8","7124",,Apple,iPhone 6 Plus,4.200000000000000,"0",306.044198900000026,372.398601400000018,"0",6.628038888890000,46.504963888900001,"2537781","1150728"
27629691001,100270960@N07,,2016-10-06,2015-03-07,"1","8","7296",,Apple,iPhone 6 Plus,4.200000000000000,"0",343.686747000000025,372.836363600000027,"0",6.626336111110000,46.505927777799997,"2537651","1150837"
27704546105,100270960@N07,,2016-10-06,2015-03-07,"1","8","7442",,Apple,iPhone 6 Plus,4.200000000000000,"0",350.421768699999973,371.548672599999975,"0",6.628186111110000,46.504938888900000,"2537792","1150726"
27426205670,100270960@N07,,2016-10-06,2015-03-07,"1","8","7394",,Apple,iPhone 6 Plus,4.200000000000000,"0",292.484210500000017,371.960893899999974,"0",6.628152777780000,46.504963888900001,"2537789","1150728"
27603832422,100270960@N07,,2016-10-06,2015-03-07,"1","8","7352",,Apple,iPhone 6 Plus,4.200000000000000,"0",332.081081100000006,376.206349199999977,"0",6.626783333330000,46.506844444400002,"2537686","1150939"
27091864224,100270960@N07,,2016-10-06,2015-03-07,"1","8","7277",,Apple,iPhone 6 Plus,4.200000000000000,"0",161.273076900000007,373.282258099999979,"0",6.628905555560000,46.505230555600001,"2537847","1150757"
27603829792,100270960@N07,,2016-10-06,2015-03-07,"1","8","7469",,Apple,iPhone 6 Plus,4.200000000000000,"0",291.453781499999991,372.097872300000006,"0",6.628733333330000,46.505127777799999,"2537834","1150746"
27629513871,100270960@N07,,2016-10-06,2015-03-07,"1","8","7284",,Apple,iPhone 6 Plus,4.200000000000000,"0",163.368644100000012,373.230414699999983,"0",6.627677777780000,46.506205555599998,"2537754","1150867"
27629512081,100270960@N07,,2016-10-06,2015-03-07,"1","8","7454",,Apple,iPhone 6 Plus,4.200000000000000,"0",284.872093000000007,369.666912900000000,"0",6.628144444440000,46.506461111100002,"2537790","1150895"
24174212770,76277389@N00,"Lausanne, Switzerland",2016-10-06,2015-10-14,"1","2","1620",,Apple,iPhone 6,4.200000000000000,"0",254.603352000000001,372.462857100000008,"0",6.628183333330000,46.504977777800001,"2537792","1150730"
24361272052,76277389@N00,"Trois Chevaux, Lausanne, Switzerland",2016-10-06,2015-10-14,"1","2","1546",,Apple,iPhone 5s,4.200000000000000,"0",163.836879399999987,372.961039000000028,"0",6.628077777780000,46.505036111099997,"2537784","1150736"
22326096204,97477255@N00,P1480060,2016-10-06,2015-11-10,"1","1","579",,Panasonic,DMC-ZS30,4.300000000000000,"0",292.500000000000000,0.000000000000000,"0",6.626336111110000,46.506786111099998,"2537652","1150932"
22935411252,97477255@N00,P1480062,2016-10-06,2015-11-10,"1","1","689",,Panasonic,DMC-ZS30,4.300000000000000,"0",45.000000000000000,0.000000000000000,"0",6.625977777780000,46.506730555600001,"2537624","1150926"
22556660909,97477255@N00,P1480065,2016-10-06,2015-11-10,"1","6","5745",,Panasonic,DMC-ZS30,4.300000000000000,"0",292.500000000000000,0.000000000000000,"0",6.625977777780000,46.506730555600001,"2537624","1150926"
22327658913,97477255@N00,P1480107,2016-10-06,2015-11-10,"1","1","633",,Panasonic,DMC-ZS30,6.900000000000000,"0",337.500000000000000,0.000000000000000,"0",6.627616666670000,46.505875000000003,"2537749","1150830"
22530443277,97477255@N00,P1480095,2016-10-06,2015-11-10,"1","6","5785",,Panasonic,DMC-ZS30,11.699999999999999,"0",67.500000000000000,0.000000000000000,"0",6.626630555560000,46.505869444399998,"2537673","1150830"
22530221667,97477255@N00,P1480331,2016-10-06,2015-11-10,"1","6","5703",,Panasonic,DMC-ZS30,4.300000000000000,"0",157.500000000000000,0.000000000000000,"0",6.626772222220000,46.506802777799997,"2537685","1150934"
21921869322,30320580@N03,Lousanne,2016-10-06,2015-09-26,"1","6","5785",,Apple,iPhone 6,4.200000000000000,"0",265.831250000000011,376.571808499999975,"0",6.626022222220000,46.506194444400002,"2537627","1150867"
21311167534,30320580@N03,"Lousanne, SW",2016-10-06,2015-09-25,"1","6","5636",,Apple,iPhone 6,4.200000000000000,"0",265.987261100000012,374.381250000000023,"0",6.626002777780000,46.506213888900000,"2537626","1150869"
21409647029,7620023@N06,"Musée Olympique, Lausanne, Suisse",2016-10-06,2015-09-18,"1","1","649",,Apple,iPhone 6 Plus,4.200000000000000,"0",97.677215189999998,374.000000000000000,"0",6.627811111110000,46.506786111099998,"2537765","1150931"
21585238482,7620023@N06,"Musée Olympique, Lausanne, Suisse",2016-10-06,2015-09-18,"1","1","632",,Apple,iPhone 6 Plus,4.200000000000000,"0",118.961309499999999,375.000000000000000,"0",6.628472222220000,46.506980555600002,"2537816","1150952"
21364414332,61152197@N00,The Color Run Lausanne 2015,2016-10-06,2015-09-12,"1","6","5802",,Apple,iPhone 5s,4.200000000000000,"0",20.666210670000002,382.000000000000000,"0",6.625086111110000,46.507266666699998,"2537557","1150987"
21383542361,61152197@N00,The Color Run Lausanne 2015,2016-10-06,2015-09-12,"1","1","711",,Apple,iPhone 5s,2.200000000000000,"0",359.494680899999992,386.000000000000000,"0",6.625708333330000,46.507044444400002,"2537604","1150962"
20754124563,61152197@N00,The Color Run Lausanne 2015,2016-10-06,2015-09-12,"1","6","5734",,Apple,iPhone 5s,2.200000000000000,"0",358.330578500000001,385.000000000000000,"0",6.625527777780000,46.507152777800002,"2537590","1150974"
21060169288,81897605@N00,"Petit brochet, bravo Lucas.",2016-10-06,2015-09-05,"1","6","5776",,Apple,iPhone 4,3.900000000000000,"0",57.140229890000001,366.534351099999981,"0",6.620344444440000,46.506255555599999,"2537191","1150878"
20549415864,81897605@N00,"Petit brochet, bravo Lucas.",2016-10-06,2015-09-05,"1","1","620",,Apple,iPhone 4,3.900000000000000,"0",214.307086599999991,365.763636399999996,"0",6.620363888890000,46.506252777800000,"2537193","1150878"
