flickrid,owner_id,title,date_downl,date_shot,gps_bool,farm,server,secret,make,model,foc_mm,azimuth_bo,azimuth,height
23591087329,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5808",,Apple,iPhone 5s,4.100000000000000,"0",312.169696999999985,383.116504899999995
23876427871,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","2","1528",,Apple,iPhone 5s,4.100000000000000,"0",324.627118600000017,415.767772499999978
23958943485,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","2","1582",,Apple,iPhone 5s,4.100000000000000,"0",324.572326999999973,395.907562999999982
23850670252,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","2","1569",,Apple,iPhone 5s,4.100000000000000,"0",264.432203399999992,397.134328400000015
23591074839,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","2","1562",,Apple,iPhone 5s,4.100000000000000,"0",350.063218399999982,396.769230800000003
23663257260,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5706",,Apple,iPhone 5s,4.100000000000000,"0",88.510440840000001,383.805309700000009
23332124173,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","2","1688",,Apple,iPhone 5s,4.100000000000000,"0",36.122802729999997,382.744360900000004
23591049509,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","2","1683",,Apple,iPhone 5s,4.100000000000000,"0",59.511873350000002,384.003636400000005
23850637482,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","2","1678",,Apple,iPhone 5s,4.100000000000000,"0",169.246376800000007,380.629870100000005
23591040849,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5642",,Apple,iPhone 5s,4.100000000000000,"0",278.541899399999977,380.042944799999987
23663239270,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5630",,Apple,iPhone 5s,4.100000000000000,"0",251.738938100000013,381.717791400000010
23932769376,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5622",,Apple,iPhone 5s,4.100000000000000,"0",37.363647460000003,378.364102600000024
23876264791,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","2","1496",,Apple,iPhone 5s,4.100000000000000,"0",100.212776399999996,373.897196300000019
23331991543,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5744",,Apple,iPhone 5s,4.100000000000000,"0",250.389380499999987,374.860294099999976
23330537204,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","2","1471",,Apple,iPhone 5s,4.100000000000000,"0",62.725067390000000,373.263736300000005
23590905529,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5641",,Apple,iPhone 5s,4.100000000000000,"0",286.376106199999981,390.079069800000013
23876247241,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","2","1482",,Apple,iPhone 5s,4.100000000000000,"0",352.328767099999993,370.474940300000014
23876244901,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5728",,Apple,iPhone 5s,4.100000000000000,"0",277.556391000000019,373.908256900000026
23850492052,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5821",,Apple,iPhone 5s,4.100000000000000,"0",333.007812500000000,375.793650800000023
23850490532,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5783",,Apple,iPhone 5s,4.100000000000000,"0",359.158536599999991,375.014705900000024
23932453556,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","2","1500",,Apple,iPhone 5s,4.100000000000000,"0",211.338235300000008,375.289772700000015
23958532805,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","6","5737",,Apple,iPhone 5s,4.100000000000000,"0",21.503579949999999,396.357723599999986
23330289704,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","2","1612",,Apple,iPhone 5s,4.100000000000000,"0",152.950836799999990,394.626168199999995
23958528005,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","2","1474",,Apple,iPhone 5s,4.100000000000000,"0",99.925423730000006,397.673758899999996
23662864450,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","2","1465",,Apple,iPhone 5s,4.100000000000000,"0",23.269957980000001,374.935779799999978
23590656619,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","2","1602",,Apple,iPhone 5s,4.100000000000000,"0",63.266816140000003,374.897959200000003
23590656249,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","6","5681",,Apple,iPhone 5s,4.100000000000000,"0",283.391509400000018,376.172727300000020
23876000891,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","2","1666",,Apple,iPhone 5s,4.100000000000000,"0",159.688311700000014,374.219178100000022
23331731243,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","6","5813",,Apple,iPhone 5s,4.100000000000000,"0",278.579268300000024,373.966824599999995
23330279314,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","6","5719",,Apple,iPhone 5s,4.100000000000000,"0",272.313380300000006,377.061728399999993
23850249242,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","6","5808",,Apple,iPhone 5s,4.100000000000000,"0",65.993769470000004,372.298136600000021
27662707040,131571153@N07,,2016-10-06,2015-06-04,"1","8","7371",,Apple,iPhone 5s,4.100000000000000,"0",256.784037599999976,397.239436599999976
24061665744,43701641@N03,Breakfast at Nate & Kate s,2016-10-06,2015-12-23,"1","2","1673",,Apple,iPhone 5s,4.200000000000000,"0",299.260833300000002,383.621621600000026
23332007743,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-03,"1","6","5623",,Apple,iPhone 5s,4.100000000000000,"0",58.597989949999999,392.694444400000009
23876024281,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","6","5692",,Apple,iPhone 5s,4.100000000000000,"0",193.650442499999997,394.473684199999980
23731490621,57615963@N06,Downtown Geneva,2016-10-06,2015-12-07,"1","6","5791",,Apple,iPhone 6s,4.200000000000000,"0",58.777408639999997,389.407894699999986
