osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,length,azimuth,az+
"8019899","5113",primary,Rue de Genève,"1",B,"50","0",F,F,158.797697978772220,108.564986505142187,"117"
"8019904","5114",secondary,Avenue de Tivoli,,B,"50","0",F,F,49.522902316478607,269.898505229885643,"270"
"8019909","5114",secondary,Avenue Jules-Gonin,,B,"50","0",F,F,101.585802242346404,87.993855658758250,"88"
"8019911","5115",tertiary,Avenue du Belvédère,,B,"50","0",F,F,51.698828767470943,303.673008566607677,"314"
"8019912","5115",tertiary,Avenue de Tivoli,,B,"50","0",F,F,15.641136087672210,247.321509310886427,"239"
"8019915","5114",secondary,Pont Chauderon,,B,"50","0",F,F,38.092568707470733,217.372713696762048,"208"
"8019918","5141",service,Avenue de Sévelin,,B,"0","0",F,F,439.885172919159004,90.805194703558996,"92"
"8019919","5115",tertiary,Avenue des Figuiers,"138",B,"50","0",F,F,362.582767492269795,91.487612564991309,"93"
"8019921","5115",tertiary,,"138",B,"50","0",F,F,62.753217277161291,0.000000000000000,
"8019923","5115",tertiary,Avenue des Figuiers,"138",F,"50","0",F,F,83.668965785223790,291.013290482042635,"300"
"8019925","5114",secondary,Avenue de Morges,,B,"50","0",F,F,100.855167643506832,278.042119422282155,"282"
"8019927","5113",primary,Place Chauderon,"9",B,"50","0",F,F,10.068381330142504,95.481860263418781,"98"
"8020194","5131",motorway_link,,,F,"50","0",F,F,296.388001874043368,167.041125644242243,"172"
"8020205","5155",steps,,,B,"0","0",F,F,8.310020410183601,71.006379462187795,"64"
"8020206","5141",service,Quai de la Nautique,,B,"0","0",F,F,109.274418412414150,254.928721754160648,"249"
"8020207","5153",footway,,,B,"0","0",F,F,25.949982118110874,23.356735378929084,"17"
"8071178","5131",motorway_link,,,F,"0","0",F,F,101.613113735289076,263.718432044032966,"261"
"8113314","5122",residential,Chemin des Lys,,F,"30","0",F,F,109.243704509833577,86.362190085067809,"85"
"8117122","5141",service,,,B,"0","0",F,F,72.114559450028196,299.801718789227095,"310"
"8584881","5115",tertiary,Avenue des Bains,,B,"50","0",F,F,382.567870896688305,222.300261038435650,"213"
"8587779","5122",residential,Chemin des Diablerets,,B,"30","0",F,F,271.836999190675783,76.105668478030964,"71"
"8587780","5122",residential,Chemin des Allières,,B,"30","0",F,F,179.182764726307170,276.021184829761410,"279"
"8587781","5141",service,Chemin des Diablerets,,B,"0","0",F,F,226.898060212511780,74.601712378923224,"69"
